id,brand,product_title,product_name,price,description,img1,img2,img3
18,Gray-Nicolls,"Gray-Nicolls Classic Players Edition Wicket keeping Gloves",B2P10,225,"Premium leather glove with square cuff and XRX palm. 
Classic Straight edge finish.
Flexible, lightweight and more durable with large surface area in contact with the ball.
Premium grade leather, octopus rubber grip, leather lining.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P10/B2P10I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P10/B2P10I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P10/B2P10I3.jpeg
19,Gray-Nicolls,"Gray-Nicolls Classic Pro Performance Wicket keeping Gloves",B2P11,193,"Grade A leather glove with Octopus grip. Pro Shape finish.
Flexible, lightweight and more durable with large surface area in contact with the ball.
Traditional square cuff with improved T-shaped webbing.
Redesigned palm construction for superior cupping.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P11/B2P11I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P11/B2P11I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P11/B2P11I3.jpeg
20,Gray-Nicolls,"Gray-Nicolls Evo Pro Cricket Helmet",B2P12,410,"Follows ICC recommended British Standard ‘BS 7928:2013+A1:2019’ for Cricket Helmets.
Pre-fitted Titanium faceguard with high density foam insert to reduce impact force.
Unparalleled field of vision between peak and grille.
Improved internal comfort and superior ventilation system.
Rear adjustment strap ensures a secure and comfortable fit.
Anti-bacterial, sweat absorbing internal lining, with superior airflow ventilation built-in.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P12/B2P12I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P12/B2P12I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P12/B2P12I3.jpeg
21,Gray-Nicolls,"Gray-Nicolls Classic Pro Performance Wheelie Cricket Bag",B2P13,193,"Advanced large wheelie bag with large main compartment combined with split multi pocket design.
Shoe, Helmet and Clothing pockets on top section.
Side pockets including valuables storage and insulated pocket for drinks.
Bat section suitable for 3 bats.
Deluxe wheel system. 
Quilted premium finish.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P13/B2P13I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P13/B2P13I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gray-Nicolls/P13/B2P13I3.jpeg
22,"Gunn & Moore","Gunn & Moore Brava DXM LE Cricket Bat",B3P1,1015,"The F2 Face Profile and low swell position on the Brava L555 DXM. 
Huge edge size in the drive area.
Traditional full blade profile.
Made from prime english willow.
Pro-Lite grip, GM lightest ever grip and ensures a balance between grip and feel.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P1/B3P1I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P1/B3P1I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P1/B3P1I3.jpeg
23,"Gunn & Moore","Gunn & Moore Diamond DXM LE Cricket Bat",B3P2,998,"Highest Grade 1 unbleached English willow.
High quality 6-piece, treble spring Singapore cane handle.
Handle length of 310 mm gives more space to move grip position.
High blade power-zone for all round stroke play & hitting on the rise.
F4.5 face maximises hitting area reducing pressure on shoulders & splice
Full profile with no concaving for maximum wood.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P2/B3P2I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P2/B3P2I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P2/B3P2I3.jpeg
24,"Gunn & Moore","Gunn & Moore Psyche DXM LE Cricket Bat",B3P3,998,"New GM Delta CAD/CAM machining for unrivalled power and pick-up in SuperLight optimised profiles. 
L540 Blade Design for DYNAMIC Sweetspot, F2 Face Profile.
Contoured design for balanced pick-up.
Mid-swell position for controlled power play.
Made from prime english willow.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P3/B3P3I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P3/B3P3I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P3/B3P3I3.jpeg
25,"Gunn & Moore","Gunn & Moore Original L.E. Cricket Batting Pads",B3P4,249,"Pro PU Leather Facing with Traditional Cotton/Cane Construction.
Shock Absorbing Comfort Foam/Low Density Foam Vertical Bolster for extra comfort.
Tri-Layer Foam & Fibre/Dual Layer Foam Knee Locator.
Comfort Strap x 3.
Comfort / PU Instep.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P4/B3P4I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P4/B3P4I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P4/B3P4I3.jpeg
26,"Gunn & Moore","Gunn & Moore Diamond Original Cricket Batting Pads",B3P5,193,"Test/1st class performance & protection suitable for the highest level of the game.
Traditional cane & cotton construction optimising weight & impact absorption finished with PU+ facing.
XRD foam knee locator keeps the pad in place maximising mobility, protection & breathability.
Vertical shin bolster filled with low density dual foam.
Traditional triple-strap design.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P5/B3P5I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P5/B3P5I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P5/B3P5I3.jpeg
27,"Gunn & Moore","Gunn & Moore Original LE Wicketkeeping Gloves",B3P6,212,"Teknik Palm Facing. 
Aniline Leather Back of Hand for extra softness.
Full Leather Lining for extra soft comfort.
Finger Tabs to help prevent wearing of the finger ends.
Cotton Palm Filling for shock absorbtion.
Rubber Thimble for finger/thumb tip protection.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P6/B3P6I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P6/B3P6I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P6/B3P6I3.jpeg
